,Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address,Sales
,,,,,,,
0,295665,Macbook Pro Laptop,1,1700,30/12/2019 00:01,"136 Church St, New York City, NY 10001",1700
,,,,,,,
1,295666,LG Washing Machine,1,600,29/12/2019 07:03,"562 2nd St, New York City, NY 10001",600
,,,,,,,
2,295667,USB-C Charging Cable,1,11.95,12/12/2019 18:21,"277 Main St, New York City, NY 10001",11.95
,,,,,,,
3,295668,27in FHD Monitor,1,149.99,22/12/2019 15:13,"410 6th St, San Francisco, CA 94016",149.99
,,,,,,,
4,295669,USB-C Charging Cable,1,11.95,18/12/2019 12:38,"43 Hill St, Atlanta, GA 30301",11.95
,,,,,,,
5,295670,AA Batteries (4-pack),1,3.84,31/12/2019 22:58,"200 Jefferson St, New York City, NY 10001",3.84
,,,,,,,
6,295671,USB-C Charging Cable,1,11.95,16/12/2019 15:10,"928 12th St, Portland, OR 97035",11.95
,,,,,,,
7,295672,USB-C Charging Cable,2,11.95,13/12/2019 09:29,"813 Hickory St, Dallas, TX 75001",23.9
,,,,,,,
8,295673,Bose SoundSport Headphones,1,99.99,15/12/2019 23:26,"718 Wilson St, Dallas, TX 75001",99.99
,,,,,,,
9,295674,AAA Batteries (4-pack),4,2.99,28/12/2019 11:51,"77 7th St, Dallas, TX 75001",11.96
,,,,,,,
10,295675,USB-C Charging Cable,2,11.95,13/12/2019 13:52,"594 1st St, San Francisco, CA 94016",23.9
,,,,,,,
11,295676,ThinkPad Laptop,1,999.99,28/12/2019 17:19,"410 Lincoln St, Los Angeles, CA 90001",999.99
,,,,,,,
12,295677,AA Batteries (4-pack),2,3.84,20/12/2019 19:19,"866 Pine St, Boston, MA 02215",7.68
,,,,,,,
13,295678,AAA Batteries (4-pack),2,2.99,6/12/2019 9:38,"187 Lincoln St, Dallas, TX 75001",5.98
,,,,,,,
14,295679,USB-C Charging Cable,1,11.95,25/12/2019 09:39,"902 2nd St, Dallas, TX 75001",11.95
,,,,,,,
15,295680,Lightning Charging Cable,1,14.95,1/12/2019 14:30,"338 Main St, Austin, TX 73301",14.95
,,,,,,,
16,295681,Google Phone,1,600,25/12/2019 12:37,"79 Elm St, Boston, MA 02215",600
,,,,,,,
17,295681,USB-C Charging Cable,1,11.95,25/12/2019 12:37,"79 Elm St, Boston, MA 02215",11.95
,,,,,,,
18,295681,Bose SoundSport Headphones,1,99.99,25/12/2019 12:37,"79 Elm St, Boston, MA 02215",99.99
,,,,,,,
19,295681,Wired Headphones,1,11.99,25/12/2019 12:37,"79 Elm St, Boston, MA 02215",11.99
,,,,,,,
20,295682,USB-C Charging Cable,1,11.95,23/12/2019 19:25,"780 Elm St, Portland, OR 97035",11.95
,,,,,,,
21,295683,Wired Headphones,1,11.99,23/12/2019 22:46,"341 Lake St, San Francisco, CA 94016",11.99
,,,,,,,
22,295684,AAA Batteries (4-pack),4,2.99,4/12/2019 12:29,"936 Church St, San Francisco, CA 94016",11.96
,,,,,,,
23,295685,Wired Headphones,1,11.99,11/12/2019 22:54,"662 Ridge St, San Francisco, CA 94016",11.99
,,,,,,,
24,295686,USB-C Charging Cable,1,11.95,17/12/2019 16:10,"573 Maple St, Portland, ME 04101",11.95
,,,,,,,
25,295687,Apple Airpods Headphones,1,150,10/12/2019 0:38,"531 Ridge St, Boston, MA 02215",150
,,,,,,,
